id,name,birth,death,quote
0,Abraham Lincoln,1809,1865,"In the end, it's not the years in your life that count. It's the life in your years."
1,Abraham Lincoln,1809,1865,The best way to predict your future is to create it.
2,Abraham Lincoln,1809,1865,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.
3,Abraham Lincoln,1809,1865,Discipline is choosing between what you want now and what you want most.
4,Alexender Graham Bell,1847,1922,"When one door closes, another opens; but we often look so long and so regretfully upon the closed door that we do not see the one that has opened for us."
5,Ashton Kutcher,1978,,Don't settle for what life gives you; make life better and build something.
6,Benjamin E. Mays,1894,1984,The tragedy in life doesn't lie in not reaching your goal. The tragedy lies in having no goal to reach.
7,Benjamin Franklin,1706,1790,Tell me and I forget. Teach me and I remember. Involve me and I learn.
8,Bill Gates,1955,,Don't make the same decision twice. Spend time and thought to make a solid decision the first time so that you don't revisit the issue unnecessarily.
9,Bill Gates,1955,,"If you are born poor it's not your mistake, but if you die poor its your mistake."
10,Bill Gates,1955,,"I can understand about having millions of dollars. There's meaningful freedom that comes with that, but once you get much beyond that I have to tell you, it's the same hamburger."
11,Brian Tracy,1944,,"There is never enough time to do everything, but there is always enough time to do the most important thing."
12,Charles F. Kettering,1876,1958,You can't have a better tomorrow if you are thinking about yesterday all the time.
13,Charles Swindoll,1934,,Life is ten percent what happens to you and ninety percent how you respond to it.
14,Dale Carnegie,1888,1955,Success is getting what you want. Happiness is wanting what you get.
15,Dale Carnegie,1888,1955,"Remember, today is the tomorrow you worried about yesterday."
16,Dale Carnegie,1888,1955,You can make more friends in two months by becoming interested in other people than you can in two years by trying to get other people interested in you.
17,Dr. Seuss,1904,1991,"Don't cry because it's over, smile because it happened."
18,Finley Peter Dunne,1867,1936,The past always looks better than it was. It's only pleasant because it isn't here.
19,Harvey MacKay,1932,,"Time is free, but it's priceless. You can't own it, but you can use it. You can't keep it, but you can spend it. Once you've lost it you can never get it back."
20,Henry David Thoreau,1817,1862,"Happiness is like a butterfly; the more you chase it, the more it will elude you, but if you turn your attention to other things, it will come and sit softly on your shoulder."
21,Henry Ford,1863,1947,Coming together is a beginning; keeping together is progress; working together is success.
22,James Clear,1986,,"Your habits shape your identity, and your identity shapes your habits."
23,James Clear,1986,,"You do not rise to the level of your goals, you fall to the level of your systems."
24,Jeff Bezos,1964,,"If you're not stubborn, you'll give up on experiments too soon. And if you're not flexible, you'll pound your head against the wall and you won't see a different solution to a problem you're trying to solve."
25,Jennifer Aniston,1969,,"There are no regrets in life, just lessons."
26,Jim Rohn,1930,2009,Motivation is what gets you started. Habit is what keeps you going.
27,Johann Wolfgang von Goethe,1749,1832,Things which matter most must never be at the mercy of things which matter least.
28,John C. Maxwell,1946,,The secret of your success is determined by your daily agenda.
29,John C. Maxwell,1946,,You'll never change your life until you change something you do daily. The secret of your success is found in your daily routine.
30,John Lennon,1940,1980,Life is what happens when you're busy making other plans.
31,M. Scott Peck,1936,2005,It is only because of problems that we grow mentally and spiritually.
32,Mahatma Gandhi,1883,1944,"You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty."
33,Mason Cooley,1927,2002,Regret for wasted time is more wasted time.
34,Michael Jordan,1963,,I've failed over and over and over again in my life and that is why I succeed.
35,Michelangelo,1475,1564,"If you knew how much work went into it, you would not call it genius."
36,Mike Dunlap,1957,,"Your success will be in direct proportion to how you spend your ""free"" time."
37,Morris West,1916,1999,"If you spend your whole life waiting for the storm, you'll never enjoy the sunshine."
38,Napoleon Hill,1883,1970,Our only limitations are those we set up in our own minds.
39,Nathan W. Morris,1971,,It's not always that we need to do more but rather that we need to focus on less.
40,Nathaniel Emmons,1745,1840,Habit is either the best of servants or the worst of masters.
41,Naval Ravikant,1974,,"A fit body, a calm mind, a house full of love. These things cannot be bought, they must be earned."
42,Octavia Butler,1947,2006,First forget inspiration. Habit is more dependable. Habit will sustain you whether you're inspired or not.
43,Robert Collier,1885,1950,"Success is the sum of small efforts, repeated day in and day out."
44,Robert Collier,1885,1950,Success is the sum of small efforts repeated day in and day out.
45,Robert T. Kiyosaki,1947,,"Learn to use your emotions to think, not think with your emotions."
46,Robin S. Sharma,1964,,Don't live the same year 75 times and call it a life.
47,Samuel Johnson,1709,1784,The chains of habit are too weak to be felt until they are too strong to be broken.
48,Sir John Lubbock,1834,1913,"In truth, people can generally make time for what they choose to do; it is not really the time but the will that is lacking."
49,Stephen King,1947,,Get busy living or get busy dying.
50,Stephen R. Covey,1932,2012,Begin with the end in mind.
51,Stephen R. Covey,1932,2012,Seek first to understand then to be understood.
52,Stephen R. Covey,1932,2012,"We see the world, not as it is, but as we are or, as we are conditioned to see it."
53,Steve Jobs,1955,2011,"Stay hungry, stay foolish"
54,Timothy Ferris,1977,,"""Someday"" is a disease that will take your dreams to the grave with you."
55,Tony Robbins,1960,,"Once you have mastered time, you will understand how true it is that most people overestimate what they can accomplish in a year, and underestimate what they can achieve in a decade!"
56,Tony Robbins,1960,,It's what you practice in private that you will be rewarded for in public.
57,Vivian Greene,1904,2003,"Life isn't about waiting for the storm to pass, it's about learning to dance in the rain."
58,Walt Disney,1901,1966,The way to get started is to quit talking and begin doing.
59,Will Durant,1935,1975,"We are what we repeatedly do. Excellence, then, is not an act, but a habit."